Latitude,Longitude,Value
33.8381,-116.310556,942
33.8381,-116.310556,816
33.847359,-116.313213,489
33.84,-116.31,573
33.847253,-116.313188,120
33.84,-116.31,567
33.847525,-116.31323,382
33.816918,-116.30969,345
33.847339,-116.313513,92
33.847282,-116.31332,252
33.84,-116.31,614
33.847269,-116.313247,149
33.847826,-116.313236,651
33.847594,-116.313269,2786
33.84,-116.31,413
33.847642,-116.313236,649
33.847285,-116.313328,310
33.847271,-116.313381,57
33.84738,-116.313432,105
33.847391,-116.313202,1072
33.84,-116.31,422
33.847447,-116.313254,344
33.847404,-116.313419,139
33.847696,-116.313201,695
33.837378,-116.30993,565
33.836472,-116.310155,605
33.847597,-116.31336,466
33.847362,-116.313378,60
33.847541,-116.313384,1702
33.84,-116.31,1857
33.847354,-116.313369,386
33.837374,-116.309964,488
33.84,-116.31,619
33.847412,-116.313393,106
33.848066,-116.312999,490
33.847527,-116.313225,687
33.84771,-116.313219,189
33.837424,-116.309791,557
33.847541,-116.313384,204
33.847259,-116.313246,188
33.84,-116.31,242
33.84,-116.31,506
33.847741,-116.313247,377
33.847237,-116.313456,100
33.837795,-116.310325,241
33.84759,-116.313258,1115
33.837823,-116.310245,190
33.836195,-116.310251,111